Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
NODE_175_length_6361_cov_13.260070	Caudovirales	100	Siphoviridae	100
NODE_175_length_6676_cov_2.517142	Caudovirales	100	Unassigned	NA
NODE_175_length_7571_cov_2.114556	Caudovirales	100	Unassigned	NA
NODE_175_length_7897_cov_5.259755	Caudovirales	50	Podoviridae	50
NODE_176_length_2993_cov_2.217835	Caudovirales	100	Unassigned	NA
NODE_176_length_3287_cov_1.940903	Caudovirales	100	Siphoviridae	100
NODE_176_length_4218_cov_2.390344	Caudovirales	100	Siphoviridae	100
NODE_176_length_4246_cov_2.412073	Caudovirales	100	Siphoviridae	66.66666667
NODE_176_length_5514_cov_454.349698	no_order_Microviridae	100	Microviridae	100
NODE_176_length_6355_cov_2.354921	Caudovirales	100	Unassigned	NA
NODE_176_length_6619_cov_6.397166	Caudovirales	100	Siphoviridae	100
NODE_176_length_9556_cov_2.978844	Caudovirales	50	Unassigned	40
NODE_177_length_12765_cov_2.744611	Caudovirales	40	Siphoviridae	50
NODE_177_length_2785_cov_2.672527	Caudovirales	100	Siphoviridae	100
NODE_177_length_5834_cov_2.438138	Caudovirales	100	Unassigned	NA
NODE_177_length_6274_cov_5.879563	Caudovirales	100	Unassigned	NA
NODE_177_length_6343_cov_4.536101	Caudovirales	100	Siphoviridae	100
NODE_177_length_6605_cov_2.262748	Caudovirales	100	Siphoviridae	100
NODE_178_length_11394_cov_3.702972	Caudovirales	100	Unassigned	NA
NODE_178_length_12297_cov_3.453194	Caudovirales	100	Unassigned	NA
NODE_178_length_12758_cov_3.071400	Caudovirales	100	Unassigned	NA
NODE_178_length_3235_cov_2.807862	Caudovirales	100	Siphoviridae	66.66666667
NODE_178_length_5456_cov_8.505092	Caudovirales	100	Siphoviridae	50
NODE_178_length_5811_cov_3.431028	Caudovirales	50	Myoviridae	50
NODE_178_length_6226_cov_2.189272	Caudovirales	100	Siphoviridae	75
NODE_178_length_6289_cov_1.990696	Caudovirales	100	Siphoviridae	100
NODE_178_length_7819_cov_2.575992	no_order_Phycodnaviridae	100	Phycodnaviridae	100
NODE_179_length_12644_cov_3.269044	Caudovirales	50	Unassigned	40
NODE_179_length_2947_cov_2.811549	Caudovirales	100	Siphoviridae	100
NODE_179_length_3229_cov_2.084436	Caudovirales	100	Unassigned	NA
NODE_179_length_3280_cov_2.663566	Caudovirales	100	Siphoviridae	100
NODE_179_length_5808_cov_17.853468	Caudovirales	100	Myoviridae	50
NODE_179_length_6218_cov_2.750284	Caudovirales	100	Siphoviridae	100
NODE_179_length_6470_cov_2.656742	Caudovirales	100	Unassigned	NA
NODE_179_length_7803_cov_3.396360	Caudovirales	100	Myoviridae	100
NODE_18_length_15213_cov_9.438580	Caudovirales	100	Podoviridae	100
NODE_18_length_25028_cov_3.353101	Caudovirales	100	Siphoviridae	55.55555556
NODE_18_length_30927_cov_3.866902	Caudovirales	100	Myoviridae	50
NODE_18_length_31157_cov_3.163269	Caudovirales	100	Siphoviridae	60
NODE_18_length_34504_cov_5.874452	Caudovirales	100	Siphoviridae	80
NODE_18_length_51491_cov_4.309861	Caudovirales	100	Siphoviridae	92.30769231
NODE_18_length_52434_cov_5.388877	Caudovirales	47.05882353	Siphoviridae	60
NODE_18_length_57319_cov_76.520624	Caudovirales	100	Siphoviridae	88.57142857
NODE_18_length_62590_cov_137.633981	Caudovirales	50	Siphoviridae	90.625
NODE_18_length_65286_cov_9.613313	Caudovirales	50	Myoviridae	48.71794872
NODE_18_length_67544_cov_6.162975	Caudovirales	43.75	Myoviridae	33.33333333
NODE_180_length_12177_cov_2.890530	Caudovirales	100	Podoviridae	66.66666667
NODE_180_length_2916_cov_2.174065	Caudovirales	100	Unassigned	100
NODE_180_length_3039_cov_2.088137	Caudovirales	50	Siphoviridae	66.66666667
NODE_180_length_4108_cov_2.288675	Caudovirales	100	Myoviridae	100
NODE_180_length_5438_cov_2.005202	Caudovirales	100	Siphoviridae	66.66666667
NODE_180_length_6225_cov_2.471637	Caudovirales	100	Siphoviridae	100
NODE_180_length_6457_cov_2.858950	Caudovirales	100	Siphoviridae	66.66666667
NODE_180_length_7150_cov_4.297533	Caudovirales	100	Unassigned	NA
NODE_180_length_7442_cov_2.985244	Caudovirales	100	Siphoviridae	100
NODE_181_length_12451_cov_62.323975	Caudovirales	100	Podoviridae	100
NODE_181_length_2710_cov_2.376271	Caudovirales	100	Siphoviridae	100
NODE_181_length_3981_cov_1.703006	Caudovirales	100	Unassigned	NA
NODE_181_length_5779_cov_14.194095	Caudovirales	100	Myoviridae	50
NODE_181_length_6454_cov_8661.914049	no_order_Microviridae	100	Microviridae	100
NODE_182_length_11056_cov_16.549768	Caudovirales	100	Siphoviridae	83.33333333
NODE_182_length_2894_cov_2.273336	Caudovirales	100	Siphoviridae	100
NODE_182_length_3180_cov_1.957440	Caudovirales	100	Unassigned	NA
NODE_182_length_4159_cov_3.185185	Caudovirales	100	Unassigned	NA
NODE_182_length_5412_cov_2.755833	Caudovirales	100	Myoviridae	100
NODE_182_length_6426_cov_2.344530	Caudovirales	100	Siphoviridae	100
NODE_182_length_7728_cov_4.335853	Caudovirales	100	Myoviridae	50
NODE_182_length_9030_cov_9.764568	Caudovirales	100	Siphoviridae	75
NODE_183_length_2699_cov_2.186838	Caudovirales	100	Siphoviridae	100
NODE_183_length_2886_cov_1.552102	Caudovirales	100	Siphoviridae	100
NODE_183_length_3133_cov_2.046134	Caudovirales	100	Podoviridae	100
NODE_183_length_3924_cov_2.674593	Caudovirales	100	Siphoviridae	100
NODE_183_length_7065_cov_1.856348	Caudovirales	100	Myoviridae	50
NODE_183_length_7395_cov_2.431199	Caudovirales	100	Unassigned	NA
NODE_183_length_8992_cov_2.698557	Caudovirales	100	Siphoviridae	100
NODE_184_length_10907_cov_3.805105	Caudovirales	100	Myoviridae	50
NODE_184_length_3850_cov_18.358366	Caudovirales	100	Siphoviridae	100
NODE_184_length_4046_cov_2.784766	Caudovirales	100	Unassigned	NA
NODE_184_length_5277_cov_11.715818	no_order_Microviridae	100	Microviridae	100
NODE_184_length_5992_cov_2.009938	Caudovirales	100	Siphoviridae	60
NODE_184_length_6102_cov_1.715892	Caudovirales	100	Podoviridae	100
NODE_184_length_6282_cov_2.310262	Caudovirales	100	Unassigned	NA
NODE_184_length_7053_cov_2.698199	Caudovirales	100	Unassigned	NA
NODE_184_length_7517_cov_5.516752	Caudovirales	100	Unassigned	NA
NODE_184_length_8963_cov_3.295240	Caudovirales	50	Unassigned	NA
NODE_185_length_11905_cov_2.830633	Caudovirales	100	Myoviridae	50
NODE_185_length_5258_cov_2.415914	Caudovirales	100	Siphoviridae	100
NODE_185_length_5579_cov_2.872737	Caudovirales	100	Siphoviridae	66.66666667
NODE_185_length_5989_cov_62.633637	Caudovirales	100	Unassigned	NA
NODE_185_length_6265_cov_3.457810	Caudovirales	100	Siphoviridae	100
NODE_185_length_7493_cov_5.833692	Caudovirales	100	Siphoviridae	60
NODE_185_length_8936_cov_3.779529	Caudovirales	100	Siphoviridae	71.42857143
NODE_186_length_10837_cov_3.710536	Caudovirales	100	Siphoviridae	80
NODE_186_length_11625_cov_2.964304	Caudovirales	100	Unassigned	NA
NODE_186_length_12166_cov_2.877632	Caudovirales	100	Siphoviridae	100
NODE_186_length_3671_cov_2.315819	Caudovirales	100	Unassigned	NA
NODE_186_length_3988_cov_2.195525	Caudovirales	100	Siphoviridae	66.66666667
NODE_186_length_5225_cov_2.326112	Caudovirales	100	Unassigned	NA
NODE_186_length_5556_cov_469.135975	no_order_Microviridae	100	Microviridae	100
NODE_186_length_5972_cov_78.022816	Caudovirales	100	Siphoviridae	66.66666667
NODE_186_length_7229_cov_2.512685	Caudovirales	100	Unassigned	NA
NODE_186_length_7477_cov_4.569793	Caudovirales	100	Podoviridae	50
NODE_186_length_8921_cov_2.853824	Caudovirales	100	Siphoviridae	66.66666667
NODE_187_length_10719_cov_4.278507	Caudovirales	100	Siphoviridae	83.33333333
NODE_187_length_11520_cov_4.113650	Caudovirales	100	Siphoviridae	60
NODE_187_length_3093_cov_2.263989	Caudovirales	100	Myoviridae	100
NODE_187_length_3972_cov_5.078121	Caudovirales	100	Unassigned	NA
NODE_187_length_5179_cov_4.595433	Caudovirales	100	Myoviridae	100
NODE_187_length_5552_cov_3.373840	Caudovirales	100	Unassigned	NA
NODE_187_length_5966_cov_2.534597	Caudovirales	100	Unassigned	NA
NODE_187_length_7210_cov_3.497554	Caudovirales	100	Podoviridae	100
NODE_187_length_7427_cov_2.875475	Caudovirales	100	Siphoviridae	75
NODE_187_length_8903_cov_4.502034	Caudovirales	50	Siphoviridae	66.66666667
NODE_188_length_5542_cov_2.123383	Caudovirales	100	Siphoviridae	100
NODE_188_length_7427_cov_2.493760	Caudovirales	100	Siphoviridae	100
NODE_189_length_2747_cov_1.712853	Caudovirales	100	Unassigned	100
NODE_189_length_3562_cov_2.218991	Caudovirales	100	Siphoviridae	100
NODE_189_length_3935_cov_2.380412	Caudovirales	100	Siphoviridae	100
NODE_189_length_5912_cov_1.933925	Caudovirales	100	Myoviridae	100
NODE_189_length_7413_cov_2.100299	Caudovirales	100	Siphoviridae	100
NODE_189_length_8788_cov_2.740868	Caudovirales	100	Unassigned	NA
NODE_19_length_13844_cov_6.650446	Caudovirales	100	Myoviridae	50
NODE_19_length_24881_cov_3.282164	Caudovirales	100	Siphoviridae	81.81818182
NODE_19_length_27893_cov_4.649759	Caudovirales	100	Siphoviridae	85.71428571
NODE_19_length_36060_cov_32.684877	Caudovirales	100	Siphoviridae	75
NODE_19_length_46049_cov_20.145976	Caudovirales	100	Siphoviridae	89.79591837
NODE_19_length_56966_cov_9.194549	Caudovirales	50	Podoviridae	33.33333333
NODE_19_length_64828_cov_10.392000	Caudovirales	50	Siphoviridae	52.94117647
NODE_190_length_10419_cov_10.998939	Caudovirales	100	Siphoviridae	85.71428571
NODE_190_length_11425_cov_5.841953	Caudovirales	100	Siphoviridae	66.66666667
NODE_190_length_2612_cov_4.076261	Caudovirales	100	Siphoviridae	100
NODE_190_length_3540_cov_1.850215	Caudovirales	100	Siphoviridae	100
NODE_190_length_3925_cov_1.911111	Caudovirales	100	Unassigned	NA
NODE_190_length_5100_cov_3.672349	Caudovirales	100	Myoviridae	50
NODE_190_length_5899_cov_2.780801	Caudovirales	100	Siphoviridae	100
NODE_190_length_5922_cov_2.596727	Caudovirales	100	Unassigned	NA
NODE_190_length_6982_cov_2.390790	Caudovirales	100	Siphoviridae	100
NODE_190_length_7404_cov_2.060689	Caudovirales	100	Unassigned	NA
NODE_191_length_10389_cov_10.460809	Caudovirales	100	Siphoviridae	100
NODE_191_length_11416_cov_4.502861	Caudovirales	100	Siphoviridae	100
NODE_191_length_12003_cov_3.336040	Caudovirales	50	Siphoviridae	62.5
NODE_191_length_2864_cov_2.228195	Caudovirales	100	Unassigned	NA
NODE_191_length_5497_cov_2.241455	Caudovirales	100	Siphoviridae	80
NODE_191_length_5875_cov_24.247251	Caudovirales	100	Siphoviridae	66.66666667
NODE_191_length_5898_cov_3.148383	Caudovirales	100	Siphoviridae	100
NODE_191_length_6137_cov_3.531240	Caudovirales	100	Unassigned	NA
NODE_191_length_6940_cov_3.473493	Caudovirales	100	Myoviridae	100
NODE_191_length_6956_cov_404.492972	Caudovirales	50	Siphoviridae	66.66666667
NODE_191_length_7256_cov_5.896959	Caudovirales	100	Podoviridae	50
NODE_192_length_10371_cov_6.514734	Caudovirales	100	Siphoviridae	100
NODE_192_length_11315_cov_2.518561	Caudovirales	100	Myoviridae	100
NODE_192_length_2970_cov_1.565009	Caudovirales	100	Myoviridae	50
NODE_192_length_3058_cov_2.229437	Caudovirales	100	Siphoviridae	100
NODE_192_length_3489_cov_1.989808	Caudovirales	100	Siphoviridae	100
NODE_192_length_3876_cov_2.696153	Caudovirales	100	Unassigned	NA
NODE_192_length_5883_cov_2.320522	Caudovirales	100	Siphoviridae	100
NODE_192_length_6890_cov_2.344989	Caudovirales	100	Myoviridae	100
NODE_192_length_8422_cov_5.291144	Caudovirales	50	Siphoviridae	66.66666667
NODE_193_length_10352_cov_24.416820	Caudovirales	100	Siphoviridae	100
NODE_193_length_2702_cov_2.125425	Caudovirales	100	Unassigned	NA
NODE_193_length_3017_cov_2.178933	Caudovirales	100	Myoviridae	46.15384615
NODE_193_length_5034_cov_15.769632	no_order_Microviridae	100	Microviridae	100
NODE_193_length_5407_cov_407.749626	no_order_Microviridae	100	Microviridae	100
NODE_193_length_7106_cov_3.082967	Caudovirales	100	Unassigned	NA
NODE_193_length_8353_cov_3.162087	Caudovirales	100	Unassigned	NA
NODE_194_length_10138_cov_3.791927	Caudovirales	100	Myoviridae	50
NODE_194_length_11285_cov_3.302404	Caudovirales	100	Siphoviridae	66.66666667
NODE_194_length_11641_cov_2.738305	Caudovirales	100	Siphoviridae	66.66666667
NODE_194_length_2693_cov_2.347233	Caudovirales	100	Siphoviridae	100
NODE_194_length_2918_cov_2.418093	Caudovirales	100	Siphoviridae	100
NODE_194_length_3851_cov_2.190200	Caudovirales	100	Unassigned	NA
NODE_194_length_5354_cov_104.200415	no_order_Microviridae	100	Microviridae	100
NODE_194_length_5765_cov_6.425044	Caudovirales	100	Siphoviridae	100
NODE_194_length_6086_cov_3.248549	Caudovirales	100	Unassigned	NA
NODE_194_length_6898_cov_2.689464	Caudovirales	100	Siphoviridae	100
NODE_194_length_6993_cov_2.915682	Caudovirales	50	Unassigned	NA
NODE_195_length_11229_cov_2.845176	Caudovirales	100	Siphoviridae	66.66666667
NODE_195_length_11505_cov_3.539214	Caudovirales	100	Unassigned	NA
NODE_195_length_2692_cov_1.238149	Caudovirales	100	Siphoviridae	100
NODE_195_length_2902_cov_2.010889	Caudovirales	100	Podoviridae	100
NODE_195_length_5287_cov_2.074732	Caudovirales	100	Siphoviridae	100
NODE_195_length_5749_cov_12.846856	Caudovirales	100	Siphoviridae	100
NODE_196_length_10077_cov_3.384853	Caudovirales	100	Unassigned	NA
NODE_196_length_11220_cov_4.487326	Caudovirales	100	Siphoviridae	66.66666667
NODE_196_length_11496_cov_2.721440	Caudovirales	50	Unassigned	NA
NODE_196_length_2689_cov_2.418375	Caudovirales	100	Siphoviridae	100
NODE_196_length_3784_cov_1.629659	Caudovirales	100	Unassigned	NA
NODE_196_length_5277_cov_172.009958	no_order_Microviridae	100	Microviridae	100
NODE_196_length_6932_cov_2.837575	Caudovirales	100	Myoviridae	50
NODE_196_length_8303_cov_3.153007	Caudovirales	100	Podoviridae	50
NODE_197_length_11216_cov_3.360452	Caudovirales	50	Siphoviridae	83.33333333
NODE_197_length_11370_cov_5.773752	Caudovirales	100	Siphoviridae	75
NODE_197_length_2984_cov_2.331171	Caudovirales	100	Unassigned	NA
NODE_197_length_3765_cov_6.558491	Caudovirales	100	Myoviridae	50
NODE_197_length_5248_cov_3.251878	Caudovirales	100	Siphoviridae	100
NODE_198_length_11132_cov_3.428907	Caudovirales	100	Siphoviridae	66.66666667
NODE_198_length_5661_cov_2.313949	Caudovirales	100	Myoviridae	100
NODE_198_length_6653_cov_3.225220	Caudovirales	100	Unassigned	NA
NODE_199_length_11084_cov_3.834527	Caudovirales	50	Siphoviridae	50
NODE_199_length_2533_cov_1.687651	Caudovirales	100	Siphoviridae	100
NODE_199_length_6644_cov_1.804826	Caudovirales	100	Unassigned	NA
NODE_199_length_6654_cov_12.498409	Caudovirales	100	Unassigned	100
NODE_2_length_111600_cov_9.640486	Caudovirales	49.25373134	Siphoviridae	47.05882353
NODE_2_length_124404_cov_11.033221	Caudovirales	50	Siphoviridae	47.22222222
NODE_2_length_128004_cov_9.723710	Caudovirales	48.91304348	Siphoviridae	52.08333333
NODE_2_length_148288_cov_23.186888	Caudovirales	49.05660377	Siphoviridae	47.27272727
NODE_2_length_164227_cov_5.664328	Caudovirales	47.05882353	Myoviridae	38.0952381
NODE_2_length_167110_cov_64.689713	Caudovirales	50	Siphoviridae	54
NODE_2_length_172485_cov_32.775068	Caudovirales	48.95833333	Siphoviridae	56
NODE_2_length_224719_cov_12.772874	Caudovirales	49.27536232	Myoviridae	35.29411765
NODE_20_length_17239_cov_6.178596	Caudovirales	100	Siphoviridae	81.81818182
NODE_20_length_27988_cov_336.531737	Caudovirales	100	Unassigned	NA
NODE_20_length_29423_cov_3.949946	Caudovirales	100	Siphoviridae	60
NODE_20_length_30460_cov_5.752804	Caudovirales	50	Siphoviridae	62.5
NODE_20_length_35894_cov_8.673847	Caudovirales	50	Siphoviridae	71.42857143
NODE_20_length_45920_cov_23.314924	Caudovirales	100	Siphoviridae	68.75
NODE_20_length_47234_cov_31.155747	Caudovirales	50	Siphoviridae	55.55555556
NODE_20_length_55983_cov_7.738449	Caudovirales	100	Siphoviridae	87.09677419
NODE_200_length_3668_cov_1.709383	Caudovirales	100	Siphoviridae	75
NODE_200_length_6634_cov_2.623195	Caudovirales	100	Siphoviridae	100
NODE_200_length_8164_cov_4.510051	Caudovirales	100	Siphoviridae	100
NODE_200_length_9711_cov_4.170153	Caudovirales	100	Siphoviridae	80
NODE_201_length_11180_cov_7.632449	Caudovirales	100	Unassigned	NA
NODE_201_length_2777_cov_1.475018	Caudovirales	100	Podoviridae	100
NODE_201_length_3730_cov_2.085442	Caudovirales	100	Siphoviridae	100
NODE_201_length_5099_cov_5.012292	Caudovirales	100	Siphoviridae	66.66666667
NODE_201_length_5573_cov_3.132113	Caudovirales	100	Unassigned	NA
NODE_201_length_5579_cov_3.461803	Caudovirales	100	Siphoviridae	75
NODE_201_length_5829_cov_3.200901	Caudovirales	100	Unassigned	NA
NODE_201_length_6515_cov_2.359443	Caudovirales	100	Siphoviridae	100
NODE_201_length_6603_cov_2.729536	Caudovirales	100	Siphoviridae	100
NODE_201_length_8113_cov_4.186647	no_order_Phycodnaviridae	100	Phycodnaviridae	100
NODE_201_length_9708_cov_3.860976	Caudovirales	100	Siphoviridae	60
NODE_202_length_11036_cov_2.922594	Caudovirales	100	Unassigned	NA
NODE_202_length_11110_cov_2.449299	no_order_Mimiviridae	33.33333333	Mimiviridae	40
NODE_202_length_3713_cov_2.517496	Caudovirales	100	Siphoviridae	100
NODE_202_length_4849_cov_3.046099	Caudovirales	50	Unassigned	NA
NODE_202_length_5090_cov_10.700894	Caudovirales	100	Siphoviridae	100
NODE_202_length_5821_cov_4.010579	Caudovirales	100	Myoviridae	50
NODE_202_length_6467_cov_2.090611	Caudovirales	100	Unassigned	NA
NODE_202_length_9691_cov_3.790058	Caudovirales	50	Myoviridae	44.44444444
NODE_203_length_10881_cov_34.173564	Caudovirales	100	Siphoviridae	60
NODE_203_length_10990_cov_6.495656	Caudovirales	100	Siphoviridae	85.71428571
NODE_203_length_2737_cov_2.022744	Caudovirales	100	Unassigned	NA
NODE_203_length_3582_cov_7.831301	Caudovirales	100	Siphoviridae	100
NODE_203_length_4830_cov_3.155602	Caudovirales	100	Unassigned	NA
NODE_203_length_6520_cov_2.549265	Caudovirales	100	Siphoviridae	100
NODE_203_length_9561_cov_9.046918	Caudovirales	100	Siphoviridae	75
NODE_204_length_10824_cov_36.334014	Caudovirales	100	Siphoviridae	75
NODE_204_length_10968_cov_3.013195	Caudovirales	100	Siphoviridae	50
NODE_204_length_3577_cov_1.886712	Caudovirales	100	Myoviridae	100
NODE_204_length_3676_cov_1.565313	Caudovirales	100	Siphoviridae	100
NODE_204_length_5069_cov_2.580774	Caudovirales	100	Siphoviridae	66.66666667
NODE_204_length_5532_cov_3.321709	Caudovirales	100	Myoviridae	100
NODE_204_length_5539_cov_2.770970	Caudovirales	100	Siphoviridae	75
NODE_204_length_6495_cov_2.118789	Caudovirales	100	Myoviridae	50
NODE_204_length_6530_cov_2.334363	Caudovirales	100	Siphoviridae	100
NODE_205_length_2853_cov_2.000715	Caudovirales	100	Siphoviridae	66.66666667
NODE_205_length_3542_cov_2.182679	Caudovirales	100	Siphoviridae	100
NODE_205_length_5060_cov_1.764835	Caudovirales	100	Siphoviridae	100
NODE_205_length_5514_cov_740.579227	no_order_Microviridae	100	Microviridae	100
NODE_205_length_5717_cov_2.778170	Caudovirales	100	Siphoviridae	100
NODE_205_length_6369_cov_2.865695	Caudovirales	100	Siphoviridae	100
NODE_206_length_10898_cov_4.371484	Caudovirales	100	Siphoviridae	62.5
NODE_206_length_2677_cov_57.585431	Caudovirales	100	Unassigned	NA
NODE_206_length_3499_cov_1.972706	Caudovirales	100	Siphoviridae	100
NODE_206_length_4777_cov_2.450445	Caudovirales	100	Myoviridae	50
NODE_206_length_5054_cov_2.089818	Caudovirales	100	Unassigned	NA
NODE_206_length_5707_cov_2.073248	Caudovirales	100	Siphoviridae	80
NODE_206_length_6285_cov_3.951364	Caudovirales	100	Siphoviridae	100
NODE_207_length_10489_cov_3.435308	Caudovirales	100	Unassigned	NA
NODE_207_length_3415_cov_3.075893	Caudovirales	100	Siphoviridae	66.66666667
NODE_207_length_5493_cov_3.159250	Caudovirales	100	Unassigned	NA
NODE_207_length_6443_cov_2.521446	Caudovirales	100	Siphoviridae	100
NODE_207_length_7736_cov_2.563729	Caudovirales	100	Siphoviridae	60
NODE_207_length_9274_cov_30.860289	Caudovirales	100	Myoviridae	100
NODE_208_length_3203_cov_1.724269	Caudovirales	100	Myoviridae	100
NODE_208_length_3393_cov_359.263032	Caudovirales	100	Siphoviridae	66.66666667
NODE_208_length_5364_cov_3.371256	Caudovirales	100	Siphoviridae	100
NODE_208_length_5659_cov_3.437545	Caudovirales	100	Siphoviridae	83.33333333
NODE_208_length_6251_cov_5.560362	Caudovirales	100	Siphoviridae	100
NODE_208_length_6413_cov_2.606008	Caudovirales	100	Podoviridae	100
NODE_209_length_10083_cov_2.428600	Caudovirales	100	Podoviridae	100
NODE_209_length_10831_cov_3.575167	Caudovirales	100	Siphoviridae	100
NODE_209_length_3428_cov_2.425734	Caudovirales	100	Unassigned	NA
NODE_209_length_5407_cov_424.684417	no_order_Microviridae	100	Microviridae	100
NODE_209_length_6272_cov_2.475149	no_order_Mimiviridae	100	Mimiviridae	100
NODE_209_length_7646_cov_2.390067	Caudovirales	100	Siphoviridae	100
NODE_21_length_12966_cov_5.378824	Caudovirales	100	Unassigned	NA
NODE_21_length_13799_cov_6.184735	Caudovirales	100	Myoviridae	50
NODE_21_length_17232_cov_3.964371	Caudovirales	100	Unassigned	NA
NODE_21_length_24137_cov_4.052363	Caudovirales	100	Siphoviridae	55.55555556
NODE_21_length_35304_cov_3.184601	Caudovirales	50	Unassigned	33.33333333
NODE_21_length_46020_cov_7.992255	Caudovirales	100	Siphoviridae	92.30769231
NODE_21_length_49714_cov_4.278741	Caudovirales	100	Siphoviridae	92
NODE_21_length_56030_cov_5.765502	Caudovirales	46.66666667	Myoviridae	41.66666667
NODE_21_length_59130_cov_12.292323	Caudovirales	100	Siphoviridae	87.5
NODE_21_length_64073_cov_37.552313	Caudovirales	49.27536232	Siphoviridae	83.33333333
NODE_210_length_3183_cov_2.118286	Caudovirales	100	Unassigned	NA
NODE_210_length_5300_cov_5.529647	Caudovirales	100	Siphoviridae	100
NODE_210_length_5325_cov_2.996395	Caudovirales	100	Unassigned	NA
NODE_211_length_10066_cov_3.038458	Caudovirales	100	Siphoviridae	80
NODE_211_length_10651_cov_2.908928	Caudovirales	100	Siphoviridae	100
NODE_211_length_3571_cov_1.929181	Caudovirales	100	Siphoviridae	75
NODE_211_length_5287_cov_1.978020	Caudovirales	100	Siphoviridae	100
NODE_211_length_6166_cov_3.568319	Caudovirales	100	Siphoviridae	75
NODE_211_length_6195_cov_2.974593	Caudovirales	100	Siphoviridae	85.71428571
NODE_211_length_9151_cov_3.042216	Caudovirales	100	Siphoviridae	100
NODE_212_length_10063_cov_3.229416	Caudovirales	100	Myoviridae	100
NODE_212_length_10557_cov_2.060941	Caudovirales	100	Unassigned	40
NODE_212_length_4697_cov_2.677510	Caudovirales	100	Podoviridae	100
NODE_212_length_4829_cov_2.517386	Caudovirales	100	Siphoviridae	100
NODE_212_length_5277_cov_13.385101	no_order_Microviridae	100	Microviridae	100
NODE_212_length_6157_cov_2.485742	Caudovirales	100	Siphoviridae	66.66666667
NODE_212_length_6188_cov_6.726072	Caudovirales	100	Siphoviridae	80
NODE_213_length_2733_cov_2.529873	Caudovirales	100	Siphoviridae	100
NODE_213_length_3374_cov_1.480566	Caudovirales	100	Podoviridae	100
NODE_213_length_5084_cov_56753.835156	no_order_Microviridae	100	Microviridae	100
NODE_213_length_5262_cov_3.422892	Caudovirales	100	Myoviridae	50
NODE_213_length_6127_cov_3.200428	Caudovirales	100	Siphoviridae	100
NODE_213_length_6131_cov_2.008723	Caudovirales	100	Unassigned	NA
NODE_214_length_10048_cov_3.706595	Caudovirales	100	Siphoviridae	80
NODE_214_length_2998_cov_1.522256	Caudovirales	100	Unassigned	NA
NODE_214_length_3290_cov_1.612365	Caudovirales	100	Podoviridae	50
NODE_214_length_4760_cov_2.428268	Caudovirales	100	Siphoviridae	100
NODE_214_length_4982_cov_2.434747	Caudovirales	100	Unassigned	NA
NODE_214_length_5257_cov_2.511534	Caudovirales	100	Siphoviridae	100
NODE_214_length_6245_cov_8.318255	no_order_Microviridae	100	Microviridae	100
NODE_215_length_2643_cov_2.020093	Caudovirales	100	Myoviridae	50
NODE_215_length_2725_cov_2.152809	Caudovirales	100	Siphoviridae	100
NODE_215_length_3281_cov_1.703658	Caudovirales	100	Siphoviridae	66.66666667
NODE_215_length_3491_cov_1.820140	Caudovirales	100	Unassigned	100
NODE_215_length_4591_cov_2.573413	Caudovirales	100	Unassigned	NA
NODE_215_length_6053_cov_2.281260	Caudovirales	100	Siphoviridae	100
NODE_215_length_6230_cov_4.043725	Caudovirales	100	Siphoviridae	100
NODE_216_length_10285_cov_2.891789	Caudovirales	100	Podoviridae	100
NODE_216_length_2579_cov_1.866086	Caudovirales	100	Unassigned	NA
NODE_216_length_2614_cov_1.967565	Caudovirales	100	Myoviridae	50
NODE_216_length_3246_cov_2.815732	Caudovirales	100	Siphoviridae	100
NODE_216_length_4690_cov_2.836246	Caudovirales	100	Siphoviridae	100
NODE_216_length_6050_cov_2.493244	Caudovirales	100	Siphoviridae	66.66666667
NODE_217_length_10212_cov_46.430344	Caudovirales	100	Unassigned	NA
NODE_217_length_2702_cov_1.863619	Caudovirales	100	Myoviridae	100
NODE_217_length_3483_cov_1.335181	Caudovirales	100	Siphoviridae	100
NODE_218_length_10024_cov_5.242953	Caudovirales	100	Unassigned	NA
NODE_218_length_2600_cov_2.082515	Caudovirales	100	Siphoviridae	100
NODE_218_length_2923_cov_1.580544	Caudovirales	100	Siphoviridae	100
NODE_218_length_4531_cov_1.992851	Caudovirales	100	Siphoviridae	100
NODE_218_length_4614_cov_2.307524	Caudovirales	100	Unassigned	NA
NODE_218_length_4860_cov_535.891988	no_order_Microviridae	100	Microviridae	100
NODE_218_length_5084_cov_12194.464307	no_order_Microviridae	100	Microviridae	100
NODE_218_length_6009_cov_2.974807	Caudovirales	100	Siphoviridae	60
NODE_218_length_6207_cov_2.171814	Caudovirales	100	Siphoviridae	66.66666667
NODE_218_length_8858_cov_3.589913	Caudovirales	100	Siphoviridae	75
NODE_219_length_2906_cov_3.645738	Caudovirales	100	Siphoviridae	100
NODE_219_length_3464_cov_2.293341	Caudovirales	100	Myoviridae	100
NODE_219_length_4517_cov_2.841775	Caudovirales	100	Unassigned	NA
NODE_219_length_4838_cov_2.405394	Caudovirales	100	Unassigned	NA
NODE_219_length_5986_cov_5.116169	Caudovirales	100	Siphoviridae	100
NODE_219_length_6195_cov_8.890879	Caudovirales	50	Myoviridae	40
NODE_219_length_7167_cov_2.322975	Caudovirales	100	Siphoviridae	75
NODE_219_length_9935_cov_2.890081	Caudovirales	100	Unassigned	NA
